epoch,f1_metric,iou_metric,learning_rate,loss,val_f1_metric,val_iou_metric,val_loss
0,0.8043596744537354,0.681584894657135,9.999999747378752e-05,0.76456618309021,0.7390955686569214,0.6417915225028992,0.7665636539459229
1,0.8227925300598145,0.7059469223022461,9.999999747378752e-05,0.6561859846115112,0.7543058395385742,0.6585151553153992,0.8005585670471191
2,0.8316569328308105,0.7190385460853577,9.999999747378752e-05,0.6207119226455688,0.7428142428398132,0.6477823853492737,0.7887030243873596
3,0.8377420902252197,0.7269194722175598,9.999999747378752e-05,0.5947967171669006,0.7424976825714111,0.6473577618598938,0.719767153263092
4,0.8465244770050049,0.739067792892456,9.999999747378752e-05,0.5680822134017944,0.7430644035339355,0.6486063003540039,0.7499093413352966
5,0.8492076396942139,0.7422688007354736,9.999999747378752e-05,0.5512906908988953,0.7403516173362732,0.6454400420188904,0.7052993178367615
6,0.8546676635742188,0.7504228353500366,9.999999747378752e-05,0.5294889807701111,0.7379366159439087,0.6428108215332031,0.7232022285461426
7,0.8566520810127258,0.7532246112823486,4.999999873689376e-05,0.5195630788803101,0.7464255094528198,0.6533198952674866,0.7286513447761536
8,0.8598374724388123,0.7576747536659241,4.999999873689376e-05,0.5098886489868164,0.7409064173698425,0.6451300382614136,0.689177930355072
9,0.8581779599189758,0.7559949159622192,4.999999873689376e-05,0.5061319470405579,0.7449430823326111,0.6506962180137634,0.6886727213859558
10,0.8602780103683472,0.758730947971344,4.999999873689376e-05,0.49792879819869995,0.7435026168823242,0.6496975421905518,0.6943783164024353
11,0.8601548075675964,0.7586184740066528,4.999999873689376e-05,0.49470117688179016,0.7438300848007202,0.6504637002944946,0.6887577176094055
12,0.860382080078125,0.7592825889587402,2.499999936844688e-05,0.49058011174201965,0.7471565008163452,0.6546783447265625,0.6973736882209778
13,0.8629342317581177,0.7622207999229431,2.499999936844688e-05,0.48362109065055847,0.7464457750320435,0.653709352016449,0.6838634014129639
